#viral contig	predicted host	best hit	predicted taxonomy	closest relative
NODE_519_length_20060_cov_5.382154	Euryarchaeota	Natrialba-phage-PhiCh1	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Myohalovirus;unclassified Myohalovirus
NODE_528_length_19879_cov_21.729469	Euryarchaeota	Halovirus-HCTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_547_length_19655_cov_7.146224	Cyanobacteria	Microcystis-aeruginosa-phage-Ma-LMM01	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unassigned Myoviridae
NODE_603_length_19175_cov_4.399634	Proteobacteria	Sinorhizobium-meliloti-1021	Caudovirales sp.	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Sinorhizobium/Ensifer group;Sinorhizobium;Sinorhizobium meliloti
NODE_604_length_19151_cov_3.878247	Euryarchaeota	Archaeal-BJ1-virus	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_629_length_18895_cov_8.448673	Euryarchaeota	Haloarcula-hispanica-virus-SH1	Sphaerolipoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Sphaerolipoviridae;Alphasphaerolipovirus
NODE_723_length_17832_cov_5.164482	Euryarchaeota	Halovirus-HCTV-5	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_743_length_17661_cov_9.884471	Euryarchaeota	Halovirus-HHTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_802_length_17175_cov_4.003621	Euryarchaeota	Halorubrum-phage-CGphi46	Phage sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses
NODE_827_length_17025_cov_19.151503	Proteobacteria	Psychrobacter-phage-Psymv2	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_927_length_16287_cov_4.157467	Firmicutes	Lactococcus-garvieae	Caudovirales sp.	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
NODE_1084_length_15344_cov_4.434822	Euryarchaeota	Halovirus-HRTV-7	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_1088_length_15310_cov_4.836906	Euryarchaeota	His2-virus	Pleolipoviridae sp.	Viruses;DNA viruses;Pleolipoviridae;Gammapleolipovirus;Haloarcula virus His2
NODE_1100_length_15272_cov_6.442137	Euryarchaeota	Archaeal-BJ1-virus	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_1118_length_15204_cov_5.159548	Euryarchaeota	Halovirus-HCTV-5	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_1163_length_14909_cov_31.290763	Euryarchaeota	Archaeal-BJ1-virus	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_1228_length_14629_cov_4.701112	Euryarchaeota	Halovirus-HSTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_1242_length_14564_cov_4.154525	Proteobacteria	Bacteriophage-Lily	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_1554_length_13334_cov_72.193313	Proteobacteria	Vibrio-phage-ValKK3	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Tevenvirinae;Schizot4virus;Vibrio virus;ValKK3
NODE_1640_length_13075_cov_41.625576	Euryarchaeota	Halovirus-HSTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_1884_length_12236_cov_33.662097	Euryarchaeota	Halovirus-HSTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_2030_length_11890_cov_4.602366	Euryarchaeota	Halorubrum-phage-CGphi46	Phage sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses
NODE_2077_length_11764_cov_6.459561	Euryarchaeota	Halorubrum-pleomorphic-virus-2	Pleolipoviridae sp.	Viruses;DNA viruses;Pleolipoviridae;Alphapleolipovirus;Halorubrum virus HRPV2
NODE_2314_length_11303_cov_12.548986	Euryarchaeota	Halomonas-sp.-ZM3	Caudovirales sp.	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
NODE_2316_length_11302_cov_2.631546	Euryarchaeota	Halovirus-HVTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_2511_length_10937_cov_9.346719	Euryarchaeota	Halorubrum-pleomorphic-virus-3	Pleolipoviridae sp.	Viruses;DNA viruses;Pleolipoviridae;Betapleolipovirus;Halorubrum virus HRPV3
NODE_2688_length_10644_cov_4.432335	Euryarchaeota	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_2759_length_10537_cov_6.596165	Cyanobacteria	Synechococcus-phage-S-SSM4	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae
NODE_2933_length_10232_cov_6.940552	Euryarchaeota	Halovirus-HHTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_2966_length_10188_cov_4.636534	Cyanobacteria	Synechococcus-phage-S-SSM5	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae
NODE_2975_length_10177_cov_6.440624	Euryarchaeota	Halovirus-HRTV-4	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_3298_length_9742_cov_5.679777	Euryarchaeota	Halovirus-HVTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_3558_length_9377_cov_50.003218	Euryarchaeota	Halovirus-HCTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_3573_length_9356_cov_20.804000	Firmicutes	Lactobacillus-phage-phig1e	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_3595_length_9329_cov_5.808173	Proteobacteria	Aeromonas-phage-Aeh1	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Tevenvirinae;unassigned Tevenvirinae
NODE_3779_length_9093_cov_4.920115	Euryarchaeota	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_4017_length_8854_cov_19.527901	Euryarchaeota	Halorubrum-pleomorphic-virus-6	Pleolipoviridae sp.	Viruses;DNA viruses;Pleolipoviridae;Alphapleolipovirus;Halorubrum virus HRPV6
NODE_4091_length_8782_cov_11.222069	Euryarchaeota	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_4114_length_8771_cov_41.405117	Firmicutes	Staphylococcus-phage-2638A	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Biseptimavirus;unclassified;Biseptimavirus
NODE_4166_length_8724_cov_3.941516	Actinobacteria	Vibrio-phage-X29	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae
NODE_4338_length_8562_cov_3.171506	Euryarchaeota	Halovirus-HSTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_4542_length_8385_cov_12.618247	Euryarchaeota	Halovirus-HSTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_4569_length_8361_cov_10.415001	Bacteroidetes	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_4626_length_8326_cov_5.046185	Euryarchaeota	Haloarcula-hispanica-pleomorphic-virus-2	Pleolipoviridae sp.	Viruses;DNA viruses;Pleolipoviridae;Alphapleolipovirus;Haloarcula virus HHPV2
NODE_4934_length_8062_cov_17.001624	Euryarchaeota	Natrialba-phage-PhiCh1	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Myohalovirus;unclassified Myohalovirus
NODE_5075_length_7959_cov_3.197874	Euryarchaeota	Halovirus-VNH-1	Halovirus sp.	Viruses;unclassified viruses
NODE_5092_length_7944_cov_10.316897	Euryarchaeota	Halovirus-HHTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_5108_length_7931_cov_33.699213	Proteobacteria	Serratia-entomophila	Caudovirales sp.	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia
NODE_5275_length_7808_cov_3.142525	Euryarchaeota	Halovirus-HHTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_5331_length_7758_cov_15.093730	Proteobacteria	Pseudomonas-phage-B3	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_5594_length_7589_cov_10.563844	Euryarchaeota	Halovirus-HHTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_5807_length_7440_cov_3.464997	Euryarchaeota	Archaeal-BJ1-virus	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_5881_length_7402_cov_5.072274	Euryarchaeota	Halovirus-HHTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_5969_length_7346_cov_3.910849	Euryarchaeota	Archaeal-BJ1-virus	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_5981_length_7339_cov_5.123970	Euryarchaeota	Archaeal-BJ1-virus	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_6143_length_7246_cov_7.215964	Euryarchaeota	Halogeometricum-pleomorphic-virus-1	Pleolipoviridae sp.	Viruses;DNA viruses;Pleolipoviridae;Betapleolipovirus;Halogeometricum virus HGPV1
NODE_6530_length_7035_cov_4.241117	Euryarchaeota	Halovirus-HSTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_6885_length_6852_cov_3.732970	NA	Thermus-phage-P2345	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;P23virus
NODE_6970_length_6812_cov_3.424153	Cyanobacteria	Prochlorococcus-phage-P-TIM68	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae
NODE_7100_length_6751_cov_5.364546	NA	NA	NA	NA
NODE_7270_length_6667_cov_4.196763	Euryarchaeota	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_7334_length_6635_cov_22.513374	Euryarchaeota	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_7362_length_6625_cov_5.712938	Euryarchaeota	Halovirus-HHTV-2	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_7614_length_6507_cov_3.191878	Bacteroidetes	Polaribacter-phage-P12002L	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;P12002virus;Polaribacter virus P12002L
NODE_8163_length_6282_cov_4.752369	Proteobacteria	Rhodovulum-phage-RS1	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_8191_length_6268_cov_4.697409	Euryarchaeota	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_8256_length_6243_cov_3.193439	Firmicutes	Staphylococcus-phage-2638A	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Biseptimavirus;unclassified;Biseptimavirus
NODE_8311_length_6220_cov_4.827088	NA	NA	NA	NA
NODE_8322_length_6218_cov_3.306831	Euryarchaeota	Halorubrum-pleomorphic-virus-1	Pleolipoviridae sp.	Viruses;DNA viruses;Pleolipoviridae;Alphapleolipovirus;Halorubrum virus HRPV1
NODE_8931_length_6005_cov_3.429076	Proteobacteria	Pectobacterium-phage-ZF40	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;unclassified Myoviridae
NODE_9169_length_5924_cov_3.115352	Firmicutes	Geobacillus-virus-E3	Siphoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;unclassified Siphoviridae
NODE_9187_length_5918_cov_21.213031	Euryarchaeota	Halovirus-HHTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_9376_length_5860_cov_3.522308	Firmicutes	Staphylococcus-phage-vB_SepS_SEP9	Siphoviridaesp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Sextaecvirus;Staphylococcus virus SEP9
NODE_9973_length_5669_cov_3.711436	Euryarchaeota	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_10842_length_5427_cov_7.922561	Euryarchaeota	Natrialba-phage-PhiCh1	Myoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Myoviridae;Myohalovirus;unclassified Myohalovirus
NODE_11443_length_5275_cov_4.519732	Cyanobacteria	Anabaena-phage-A-4L	Podoviridae sp.	Viruses;dsDNA viruses, no RNA stage;Caudovirales;Podoviridae;unclassified Podoviridae
NODE_11765_length_5198_cov_3.494847	Euryarchaeota	Halovirus-HGTV-1	Halovirus sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses;Haloviruses
NODE_12451_length_5045_cov_3.763126	Euryarchaeota	Halogeometricum-pleomorphic-virus-1	Pleolipoviridae sp.	Viruses;DNA viruses;Pleolipoviridae;Betapleolipovirus;Halogeometricum virus HGPV1
NODE_12516_length_5030_cov_2.131658	Euryarchaeota	Halorubrum-phage-CGphi46	Phage sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses
NODE_12639_length_5003_cov_2.767583	Euryarchaeota	Halorubrum-phage-CGphi46	Phage sp.	Viruses;dsDNA viruses, no RNA stage;unclassified archaeal dsDNA viruses
