,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
10,VC_107_1,19,51300.0,12363.994592277193,0.8057929812375139,2.143562271346082e-53,2.8284271247461903,9.433981132056603,171,141,0.8245614035087719,7.483413216736704,5,1,1,"Dickeya~phage~RC-2014,Dickeya~virus~Limestone,Escherichia~phage~ECML-4,Escherichia~phage~PhaxI,Escherichia~virus~CBA120,Klebsiella~phage~0507-KN2-1,Salmonella~phage~38,Salmonella~phage~Det7,Salmonella~phage~GG32,Salmonella~phage~Marshall,Salmonella~phage~Maynard,Salmonella~phage~SFP10,Salmonella~phage~SKML-39,Salmonella~phage~Sh19,Salmonella~phage~vB_SalM_PM10,Salmonella~phage~vB_SalM_SJ2,Salmonella~phage~vB_SalM_SJ3,Salmonella~virus~ViI,Shigella~phage~Ag3"
11,VC_108_0,7,2616.218676585304,1478.5476485519719,0.6389176985569734,1.2269181559135128e-13,2.8284271247461903,7.0,21,21,1.0,5.488290772561069,1,1,1,"Paenibacillus~phage~Diva,Paenibacillus~phage~Fern,Paenibacillus~phage~HB10c2,Paenibacillus~phage~Rani,Paenibacillus~phage~Sitara,Paenibacillus~phage~Xenia,Paenibacillus~phage~phiIBB_Pl23"
12,VC_109_0,2,137.24433315443505,411.89843987229744,0.2499246824245358,0.047386153521126684,2.8284271247461903,2.8284271247461903,1,1,1.0,2.8284271247461903,1,1,1,"Streptococcus~phage~315.6,Streptococcus~phage~P9"
13,VC_10_0,17,7840.513819192909,13931.751438223597,0.36011474812075955,2.2286412414499154e-62,3.7416573867739413,10.099504938362077,136,106,0.7794117647058824,7.953133938836803,2,1,1,"Staphylococcus~phage~23MRA,Staphylococcus~phage~JS01,Staphylococcus~phage~P954,Staphylococcus~phage~PVL,Staphylococcus~phage~StauST398-4,Staphylococcus~phage~phi5967PVL,Staphylococcus~phage~phiBU01,Staphylococcus~phage~phiN315,Staphylococcus~phage~phiNM3,Staphylococcus~phage~phiPVL-CN125,Staphylococcus~phage~phiSa119,Staphylococcus~phage~tp310-1,Staphylococcus~phage~tp310-3,Staphylococcus~prophage~phiPV83,Staphylococcus~virus~108PVL,Staphylococcus~virus~13,Staphylococcus~virus~77"
14,VC_110_0,2,19.913110756473955,192.27382466762467,0.09384701615428662,0.05284858885974558,7.0,7.0,1,1,1.0,7.0,1,1,1,"Bacillus~phage~SPP1,Geobacillus~phage~GBK2"
15,VC_111_0,3,329.8296260061198,265.01975493510815,0.5544758666206083,0.0024013095502869006,3.605551275463989,5.291502622129181,3,3,1.0,4.564295140301963,1,1,1,"Lactobacillus~phage~KC5a,Lactobacillus~phage~phi~jlb1,Lactobacillus~prophage~Lj771"
16,VC_112_0,3,342.81442954311217,1416.7638595877459,0.19482760821767414,0.0017802955675818354,2.6457513110645907,4.795831523312719,3,3,1.0,3.894741173832198,1,1,1,"Streptococcus~virus~9871,Streptococcus~virus~9872,Streptococcus~virus~9874"
17,VC_112_1,2,115.7958565789429,388.2539200470607,0.229730994732414,0.049065633713735166,5.291502622129181,5.291502622129181,1,1,1.0,5.291502622129181,1,1,1,"Enterococcus~phage~phiEf11,Enterococcus~phage~vB_EfaS_IME197"
18,VC_113_0,2,180.91919997173244,191.02995080556278,0.48640842328487505,0.05442095312493712,0.0,0.0,1,1,1.0,0.0,1,1,1,"Rhodobacter~phage~RC1,Rhodovulum~phage~RS1"
19,VC_114_0,4,1067.9482260973325,350.54706607530056,0.7528740010561569,0.0004422835781525009,1.4142135623730951,6.928203230275509,6,6,1.0,5.176765419724071,1,1,1,"Acinetobacter~phage~AP22,Acinetobacter~phage~LZ35,Acinetobacter~phage~YMC-13-01-C62,Acinetobacter~phage~YMC11/12/R2315"
20,VC_115_0,3,308.8344127207831,317.5521486973703,0.4930412491953451,0.001863412781455809,6.48074069840786,9.1104335791443,3,2,0.6666666666666666,7.577534235365003,1,1,1,"Mannheimia~phage~vB_MhS_1152AP2,Mannheimia~phage~vB_MhS_535AP2,Mannheimia~phage~vB_MhS_587AP2"
21,VC_116_0,2,111.64670803223923,109.70951070655572,0.5043757463348465,0.05467214048247701,2.6457513110645907,2.6457513110645907,1,1,1.0,2.6457513110645907,1,1,1,"Bacteroides~phage~B124-14,Bacteroides~phage~B40-8"
22,VC_118_0,3,288.94876891883575,738.5126458130853,0.28122590763588573,0.0018338306536138517,4.58257569495584,7.14142842854285,3,3,1.0,6.11908456806983,1,1,1,"Gordonia~phage~Bowser,Gordonia~phage~Hedwig,Gordonia~phage~Schwabeltier"
23,VC_119_0,3,664.9202356399977,4885.356397161365,0.11979947660814087,0.001841025842575626,5.744562646538029,9.327379053088816,3,2,0.6666666666666666,7.891422322223157,1,1,1,"Pseudomonas~phage~VCM,Pseudomonas~phage~phiPsa374,Pseudomonas~phage~vB_PsyM_KIL1"
24,VC_11_0,3,900.0,5898.092156282508,0.1323900852341724,0.0014993235178054395,5.744562646538029,7.416198487095663,3,3,1.0,6.386920377877897,1,1,1,"Enterococcus~phage~ECP3,Enterococcus~phage~EFLK1,Enterococcus~phage~phiEF24C"
25,VC_120_0,6,4500.0,6991.661322887644,0.39158828941795093,1.5580484826233697e-10,2.449489742783178,5.291502622129181,15,15,1.0,4.370452061447917,1,1,1,"Pseudomonas~phage~CHA_P1,Pseudomonas~phage~KPP10,Pseudomonas~phage~PAK_P3,Pseudomonas~phage~PAK_P5,Pseudomonas~phage~vB_PaeM_PAO1_Ab03,Pseudomonas~phage~vB_PaeM_PS24"
26,VC_121_0,4,1800.0,4475.667593518031,0.28682207481147853,6.984642258488335e-05,4.795831523312719,7.3484692283495345,6,6,1.0,6.548708353695241,1,1,1,"Cronobacter~phage~CR3,Cronobacter~phage~CR8,Cronobacter~phage~CR9,Cronobacter~phage~PBES~02"
27,VC_122_0,2,300.0,664.0436881832712,0.3111892165025699,0.053744803766234625,7.681145747868608,7.681145747868608,1,1,1.0,7.681145747868608,1,1,1,"Vibrio~phage~eugene~12A10,Vibrio~phage~helene~12B3"
28,VC_123_0,2,222.9028334941986,876.5231669063309,0.20274473535553403,0.051445622285075744,2.0,2.0,1,1,1.0,2.0,1,1,1,"Pseudomonas~phage~PaMx11,Pseudomonas~phage~vB_PaeS_PAO1_Ab18"
29,VC_123_1,4,1304.1534167872712,1518.0148840472368,0.4621104334570112,2.288905033498433e-05,3.1622776601683795,4.358898943540674,6,6,1.0,3.666028004342985,1,1,1,"Pseudomonas~phage~MP1412,Pseudomonas~phage~PAE1,Pseudomonas~virus~M6,Pseudomonas~virus~Yua"
30,VC_124_0,2,147.47727945162688,731.1155087880052,0.1678562371848233,0.0484102015780347,4.58257569495584,4.58257569495584,1,1,1.0,4.58257569495584,1,1,1,"Acinetobacter~phage~vB_AbaM_Acibel004,Acinetobacter~phage~vB_AbaM_phiAbaA1"
31,VC_125_0,12,19800.0,10166.76130239198,0.6607320624407798,1.2032874538974768e-33,0.0,6.708203932499369,66,66,1.0,4.937939641537829,1,1,1,"Pseudomonas~phage~C11,Pseudomonas~phage~JG004,Pseudomonas~phage~K5,Pseudomonas~phage~K8,Pseudomonas~phage~PAK_P1,Pseudomonas~phage~PAK_P2,Pseudomonas~phage~PAK_P4,Pseudomonas~phage~PaP1,Pseudomonas~phage~PaoP5,Pseudomonas~phage~phiMK,Pseudomonas~phage~vB_PaeM_C2-10_Ab1,Pseudomonas~phage~vB_PaeM_MAG1"
32,VC_126_0,5,120.03926043058036,118.41069601550221,0.503414897698768,0.00016903032176317884,5.744562646538029,9.0,10,9,0.9,7.401140220940505,1,1,1,"Idiomarinaceae~phage~1N2-2,Marinomonas~phage~P12026,Pseudoalteromonas~phage~BS5,Pseudoalteromonas~phage~H105/1,Pseudoalteromonas~phage~Pq0"
33,VC_127_0,2,52.23259801491138,164.49943257109658,0.24100082426064565,0.05178093558826699,8.54400374531753,8.54400374531753,1,1,1.0,8.54400374531753,1,1,1,"Gordonia~phage~BritBrat,Gordonia~phage~GAL1"
34,VC_128_0,2,210.95748538959592,450.59587458559207,0.31888204059232356,0.05037472446252161,0.0,0.0,1,1,1.0,0.0,1,1,1,"Clostridium~phage~phiCT19406B,Clostridium~phage~phiCTC2B"
35,VC_129_0,3,110.18739205323405,116.71417483342992,0.48561758988765386,0.004813715492014399,4.0,5.656854249492381,3,3,1.0,4.982785623873855,1,1,1,"Lactococcus~phage~1358,Listeria~phage~P35,Listeria~phage~P40"
36,VC_12_0,37,49690.88181530798,29756.64444355963,0.6254553685334121,5.2805715845063814e-272,3.3166247903554,10.14889156509222,666,509,0.7642642642642643,8.099355391664094,1,1,1,"Staphylococcus~phage~3MRA,Staphylococcus~phage~B166,Staphylococcus~phage~B236,Staphylococcus~phage~DW2,Staphylococcus~phage~ROSA,Staphylococcus~phage~SA12,Staphylococcus~phage~SA13,Staphylococcus~phage~SA97,Staphylococcus~phage~StauST398-1,Staphylococcus~phage~StauST398-3,Staphylococcus~phage~StauST398-5,Staphylococcus~phage~phiJB,Staphylococcus~phage~phiNM,Staphylococcus~virus~11,Staphylococcus~virus~187,Staphylococcus~virus~29,Staphylococcus~virus~52a,Staphylococcus~virus~53,Staphylococcus~virus~55,Staphylococcus~virus~69,Staphylococcus~virus~71,Staphylococcus~virus~80,Staphylococcus~virus~80alpha,Staphylococcus~virus~85,Staphylococcus~virus~88,Staphylococcus~virus~92,Staphylococcus~virus~96,Staphylococcus~virus~IPLA88,Staphylococcus~virus~SAP26,Staphylococcus~virus~X2,Staphylococcus~virus~phiETA,Staphylococcus~virus~phiETA2,Staphylococcus~virus~phiETA3,Staphylococcus~virus~phiMR11,Staphylococcus~virus~phiMR25,Staphylococcus~virus~phiNM2,Staphylococcus~virus~phiNM4"
37,VC_130_0,2,92.29672798473987,548.9859237036821,0.1439251907746661,0.04889152272146603,2.8284271247461903,2.8284271247461903,1,1,1.0,2.8284271247461903,1,1,1,"Bacteriophage~APSE-2,Hamiltonella~virus~APSE1"
38,VC_131_0,10,3660.5310503728747,1112.384800105026,0.7669381076572624,2.5313063422970373e-23,3.0,7.810249675906654,45,45,1.0,5.94407360805946,1,1,1,"Streptococcus~phage~DCC1738,Streptococcus~phage~IC1,Streptococcus~phage~K13,Streptococcus~phage~phiARI0004,Streptococcus~phage~phiARI0031,Streptococcus~phage~phiARI0131-1,Streptococcus~phage~phiARI0460-1,Streptococcus~phage~phiARI0462,Streptococcus~phage~phiARI0468-1,Streptococcus~phage~phiARI0468-2"
39,VC_132_0,2,27.201763844772763,125.65174471379856,0.17795969553652363,0.05467792419441507,6.082762530298219,6.082762530298219,1,1,1.0,6.082762530298219,1,1,1,"Acinetobacter~phage~Bphi-B1251,Acinetobacter~phage~vB_AbaS_TRS1"
40,VC_133_0,4,592.9745882693423,636.7427755699076,0.48220396467204524,3.3738090313452356e-05,5.385164807134504,8.06225774829855,6,6,1.0,7.069828665225596,1,1,1,"Listeria~phage~A118,Listeria~phage~A500,Listeria~phage~LP-030-3,Listeria~phage~vB_LmoS_293"
41,VC_134_0,2,137.72751946844107,459.0561569961841,0.23078298703534494,0.04922918577837901,2.23606797749979,2.23606797749979,1,1,1.0,2.23606797749979,1,1,1,"Achromobacter~phage~83-24,Achromobacter~phage~JWX"
42,VC_135_0,14,6793.709305989779,733.8511952268159,0.9025114185255354,1.0686787461461251e-20,1.7320508075688772,7.937253933193772,91,91,1.0,5.544812433749341,1,1,1,"Enterobacteria~phage~UAB_Phi78,Enterobacteria~phage~vB_EcoP_ACG-C91,Erwinia~amylovora~phage~Era103,Erwinia~phage~phiEa100,Escherichia~virus~K1-5,Escherichia~virus~K1E,Lelliottia~phage~phD2B,Pectobacterium~phage~PP1,Proteus~phage~PM~85,Proteus~phage~PM~93,Proteus~phage~vB_PmiP_Pm5460,Salmonella~phage~BP12B,Salmonella~virus~SP6,Vibrio~phage~phi-A318"
43,VC_136_0,2,40.420263642123864,36.64756987958664,0.5244764487993193,0.09521513191276199,5.656854249492381,5.656854249492381,1,1,1.0,5.656854249492381,1,1,1,"Thalassomonas~phage~BA3,Vibrio~phage~VvAW1"
44,VC_137_0,3,279.7428862995855,330.5637327235079,0.4583644967628973,0.0030554805955089145,5.477225575051661,7.3484692283495345,3,3,1.0,6.435478500603018,1,1,1,"Bacillus~phage~Waukesha92,Bacillus~phage~phi4J1,Bacillus~phage~vB_BtS_BMBtp3"
45,VC_137_1,4,486.5507435287834,921.9411028542462,0.34544093725372504,0.00017888661934553133,3.3166247903554,8.366600265340756,6,6,1.0,6.1841064396970475,1,1,1,"Bacillus~phage~BtCS33,Bacillus~phage~phIS3501,Bacillus~phage~phiCM3,Staphylococcus~phage~SpaA1"
46,VC_138_0,2,43.30669865720332,104.3760546006683,0.2932414090464896,0.05594168070908989,7.416198487095663,7.416198487095663,1,1,1.0,7.416198487095663,1,2,2,"Deep-sea~thermophilic~phage~D6E,Geobacillus~virus~E2"
47,VC_139_0,5,126.97690910197554,221.0464908882476,0.3648516424629569,0.001787272712783839,5.656854249492381,8.717797887081348,10,10,1.0,7.682265047970532,1,1,1,"Idiomarinaceae~phage~Phi1M2-2,Listonella~phage~phiHSIC,Pseudoalteromonas~phage~H103,Vibrio~phage~pYD21-A,Vibrio~phage~pYD38-B"
48,VC_13_0,5,1791.9869855699721,28125.86515396872,0.05989691296059741,1.523752568110842e-05,3.3166247903554,9.273618495495704,10,7,0.7,7.837348604652014,1,1,1,"Mycobacterium~phage~BuzzLyseyear,Mycobacterium~phage~Cerasum,Mycobacterium~phage~Job42,Mycobacterium~phage~Velveteen,Mycobacterium~virus~Ramsey"
49,VC_13_1,35,100191.89606749295,52988.34701464867,0.6540784506639403,1.3018248503122632e-231,3.7416573867739413,10.392304845413264,595,483,0.8117647058823529,8.224727208063227,1,1,1,"Mycobacterium~phage~Bipolar,Mycobacterium~phage~Brocalys,Mycobacterium~phage~Cabrinians,Mycobacterium~phage~CaptainTrips,Mycobacterium~phage~Daenerys,Mycobacterium~phage~Dante,Mycobacterium~phage~Florinda,Mycobacterium~phage~Hades,Mycobacterium~phage~Hamulus,Mycobacterium~phage~Inventum,Mycobacterium~phage~Kimberlium,Mycobacterium~phage~Llama,Mycobacterium~phage~Ovechkin,Mycobacterium~phage~Phatniss,Mycobacterium~phage~PopTart,Mycobacterium~phage~Quico,Mycobacterium~phage~Saal,Mycobacterium~phage~Seagreen,Mycobacterium~phage~SiSi,Mycobacterium~phage~Sparkdehlily,Mycobacterium~phage~Taj,Mycobacterium~phage~Tweety,Mycobacterium~phage~Wee,Mycobacterium~phage~XFactor,Mycobacterium~virus~Ardmore,Mycobacterium~virus~Boomer,Mycobacterium~virus~Che8,Mycobacterium~virus~Deadp,Mycobacterium~virus~Drago,Mycobacterium~virus~Fruitloop,Mycobacterium~virus~Gumbie,Mycobacterium~virus~Llij,Mycobacterium~virus~PMC,Mycobacterium~virus~Pacc40,Mycobacterium~virus~SG4"
50,VC_140_0,4,875.9438332584245,250.16273481720629,0.7778516333097126,8.583772070824398e-05,4.47213595499958,6.164414002968976,6,6,1.0,5.429544171202203,1,1,1,"Burkholderia~virus~Bcep22,Burkholderia~virus~Bcepil02,Burkholderia~virus~Bcepmigl,Burkholderia~virus~DC1"
51,VC_141_0,9,5647.1701420416675,1086.9294726908017,0.8385931995551593,8.641402750150002e-19,3.0,6.244997998398398,36,36,1.0,4.591580018218492,1,1,1,"Pseudomonas~phage~DL54,Pseudomonas~phage~PhiCHU,Pseudomonas~phage~TL,Pseudomonas~phage~UFV-P2,Pseudomonas~phage~phiIBB-PAA2,Pseudomonas~phage~vB_PaeP_C2-10_Ab22,Pseudomonas~phage~vB_PaeP_p2-10_Or1,Pseudomonas~virus~LUZ24,Pseudomonas~virus~PaP3"
52,VC_142_0,2,300.0,3790.777862127776,0.0733356858062095,0.04994013031829288,1.4142135623730951,1.4142135623730951,1,1,1.0,1.4142135623730951,1,1,1,"Erwinia~phage~phiEa104,Erwinia~phage~phiEa21-4"
53,VC_143_0,19,51300.0,4281.10914909701,0.9229754638826496,7.7493832600145625e-47,2.6457513110645907,8.18535277187245,171,171,1.0,5.77600704422647,1,1,1,"Mycobacterium~phage~Alice,Mycobacterium~phage~ArcherS7,Mycobacterium~phage~Astraea,Mycobacterium~phage~Breeniome,Mycobacterium~phage~Bxz1,Mycobacterium~phage~Cali,Mycobacterium~phage~Catera,Mycobacterium~phage~Dandelion,Mycobacterium~phage~ET08,Mycobacterium~phage~Gizmo,Mycobacterium~phage~HyRo,Mycobacterium~phage~LinStu,Mycobacterium~phage~MoMoMixon,Mycobacterium~phage~Nappy,Mycobacterium~phage~Pleione,Mycobacterium~phage~Rizal,Mycobacterium~phage~ScottMcG,Mycobacterium~phage~Spud,Mycobacterium~phage~Tonenili"
54,VC_144_0,2,169.58050429821796,664.2577773509131,0.20337337350694504,0.05084994121272169,3.7416573867739413,3.7416573867739413,1,1,1.0,3.7416573867739413,1,1,1,"Pseudomonas~phage~PaMx28,Pseudomonas~phage~PaMx74"
55,VC_145_0,3,426.94526896638024,646.8473754235891,0.3976049484013102,0.0020813580199322787,2.23606797749979,3.3166247903554,3,3,1.0,2.7937066308671263,1,1,1,"Bacillus~phage~Fah,Bacillus~phage~Gamma,Bacillus~virus~Wbeta"
56,VC_146_0,2,33.80195960486008,535.5864053580902,0.059365385183203646,0.050717781832136696,6.6332495807108,6.6332495807108,1,1,1.0,6.6332495807108,1,1,1,"Burkholderia~phage~BcepB1A,Shewanella~sp.~phage~1/41"
57,VC_147_0,4,376.3897937221613,209.3591169537035,0.6425787344407775,4.2080318199797515e-05,4.242640687119285,7.745966692414834,6,6,1.0,6.498257548755422,1,3,2,"Citrobacter~phage~CVT22,Pseudomonas~phage~O4,Pseudomonas~phage~PA11,Salinivibrio~phage~CW02"
58,VC_148_0,2,300.0,1508.1562673608175,0.16591486334191657,0.05058377765848521,3.0,3.0,1,1,1.0,3.0,1,1,1,"Ralstonia~phage~RSF1,Ralstonia~phage~RSL2"
59,VC_148_1,3,751.4461165762843,1974.0708562489249,0.27570773694260003,0.0020504326947594007,7.615773105863909,8.94427190999916,3,3,1.0,8.1020039027593,1,1,1,"Pseudomonas~phage~201phi2-1,Pseudomonas~phage~PhiPA3,Pseudomonas~virus~phiKZ"
60,VC_149_0,3,900.0,6441.94944840279,0.12258324663292133,0.0020511424495360925,3.3166247903554,3.605551275463989,3,3,1.0,3.4620925603190478,1,1,1,"Cronobacter~phage~CR5,Erwinia~phage~vB_EamM_EarlPhillipIV,Erwinia~phage~vB_EamM_Phobos"
61,VC_149_1,3,900.0,6973.032058696512,0.11431428111687472,0.013414521322885406,4.795831523312719,7.416198487095663,3,3,1.0,6.281759863706394,2,1,1,"Erwinia~phage~phiEaH2,Erwinia~phage~vB_EamM_Asesino,Salmonella~phage~SPN3US"
62,VC_149_2,4,1800.0,8131.726956947203,0.18123736262613496,0.0005000396741279778,4.47213595499958,9.486832980505138,6,4,0.6666666666666666,7.460928294053293,1,1,1,"Erwinia~phage~vB_EamM_Caitlin,Erwinia~phage~vB_EamM_ChrisDB,Erwinia~phage~vB_EamM_Huxley,Erwinia~phage~vB_EamM_Kwan"
63,VC_14_0,18,6616.550459952277,1161.6581041151048,0.8506522299387084,1.0394343696252316e-45,2.449489742783178,8.306623862918075,153,153,1.0,6.825134898656977,1,1,1,"Cyanophage~9515-10a,Cyanophage~KBS-P-1A,Cyanophage~NATL1A-7,Cyanophage~NATL2A-133,Cyanophage~P-SSP2,Cyanophage~SS120-1,Prochlorococcus~phage~P-GSP1,Prochlorococcus~phage~P-SSP10,Prochlorococcus~phage~P-SSP3,Prochlorococcus~virus~PSSP7,Synechococcus~phage~S-CBP1,Synechococcus~phage~S-CBP2,Synechococcus~phage~S-CBP3,Synechococcus~phage~S-CBP4,Synechococcus~phage~S-RIP1,Synechococcus~phage~S-RIP2,Synechococcus~virus~P60,Synechococcus~virus~Syn5"
64,VC_150_0,2,125.93780803357922,1020.3707730939035,0.10986379244383715,0.05057366176682355,7.280109889280518,7.280109889280518,1,1,1.0,7.280109889280518,2,1,1,"Pseudomonas~phage~EL,Pseudomonas~phage~OBP"
65,VC_151_0,6,3867.7463019656598,647.3219729526197,0.8566307454200488,6.69138898849123e-10,4.242640687119285,7.681145747868608,15,15,1.0,6.175268499242798,1,1,1,"Escherichia~phage~172-1,Escherichia~phage~ECBP2,Escherichia~phage~KBNP1711,Escherichia~phage~NJ01,Escherichia~phage~vB_EcoP_SU10,Escherichia~virus~phiEco32"
66,VC_152_0,8,2790.488903432574,928.1273137415664,0.7504105668514318,5.660398437625627e-14,3.1622776601683795,8.12403840463596,28,28,1.0,5.909327858304573,1,1,1,"Enterococcus~phage~Ec-ZZ2,Enterococcus~phage~EfaCPT1,Enterococcus~phage~IME-EF4,Enterococcus~phage~IME-EFm1,Enterococcus~phage~IME-EFm5,Enterococcus~phage~IME_EF3,Enterococcus~phage~SANTOR1,Enterococcus~phage~vB_EfaS_IME196"
67,VC_153_0,2,116.71447717868614,161.9439976882859,0.41884416841943933,0.05671772447158288,4.242640687119285,4.242640687119285,1,1,1.0,4.242640687119285,1,1,1,"Bacillus~virus~1,Geobacillus~phage~GBSV1"
68,VC_154_0,2,46.6954683646501,49.803596628119614,0.4838955524403143,0.06018246575443669,8.54400374531753,8.54400374531753,1,1,1.0,8.54400374531753,1,2,1,"Rhizobium~phage~RHEph10,Salmonella~phage~SSU5"
69,VC_155_0,2,236.07008058314537,312.88790368975555,0.4300330578046369,0.05249281327284044,3.872983346207417,3.872983346207417,1,1,1.0,3.872983346207417,1,1,1,"Gordonia~phage~Twister6,Gordonia~phage~Wizard"
70,VC_156_0,6,944.2488764104447,297.80314385773244,0.7602329540163444,4.850974333641583e-09,3.1622776601683795,8.774964387392123,15,15,1.0,7.327914392923028,1,1,1,"Edwardsiella~phage~MSW-3,Edwardsiella~phage~PEi21,Iodobacteriophage~phiPLPE,Klebsiella~phage~JD001,Vibrio~phage~CP-T1,Vibrio~phage~vB_VchM-138"
