Genomic bins	9PM-3	9AM-1	9AM-3	9AM-2	9AM-5	9AM-4	9AM-6	9PM-6	9PM-4	9PM-5	9PM-2	ALL-DNA	9PM-1
bin.algae	4.40153578668	3.58811809174	4.41311805291	2.99090122729	6.07869697398	3.7676515269	5.75154059491	4.44779033105	4.60988330409	6.77262573133	3.06468014543	4.49635626234	4.72024013804
bin.37	2.0519114934	1.47496812363	4.64725999755	4.09958829915	3.53751690415	2.582392717	4.78514481787	4.81751317044	2.49848114487	2.49826335529	2.76626925837	3.17052306211	2.14724935735
bin.21	1.41828045556	1.56830582629	2.18726381472	6.5931274316	4.72712866241	4.62945524617	4.44210848277	2.30051776408	4.62763163612	9.95897081078	10.1284141812	4.68380670478	5.10407141026
bin.19	3.22367129436	4.33122319246	2.36557680107	3.64953808452	4.11494052229	2.6368732579	3.61411796596	2.64841072721	2.76014529764	3.54416712122	2.04557049227	3.23149760437	3.78034741041
bin.32	10.7195621434	3.00480517296	1.92370825286	1.22532571874	2.04990158788	1.95275702929	3.06493367306	2.19341528601	1.491006215	1.61014766327	16.9485015675	3.94814870654	1.75086139681
bin.35	0.838867965331	0.68107533801	0.679520117534	9.29780203948	1.38251677686	2.13889416039	0.69730494569	4.04677294008	3.25760920431	3.46406512316	10.5082892687	3.17956985334	1.9907053041
bin.30	3.73208695775	4.67540432268	6.34216629215	10.6498148386	5.13910055761	6.24456898921	5.71941925609	8.47691180035	6.49016490318	7.65936053752	8.24650481207	6.78888722842	8.01775607447
bin.16	5.80167821889	3.35620209108	2.33082919238	6.40081716775	0.740883448731	2.58042078399	3.30946418246	11.3500202364	4.221717454	2.08516137166	6.33565779356	4.14100496207	1.61410599431
bin.8	12.0474982027	8.3286974367	8.32574454211	4.75674003196	3.80919613427	6.52906575432	5.72668351915	5.51996428013	7.32552592142	7.17464414684	4.56582832162	6.66992142232	4.07834570116
bin.29	57.4987292681	19.4925016109	34.137734265	19.8676620434	26.0448250847	26.920802651	40.7335089491	29.6535162034	56.236144076	25.8153717848	14.1059676488	31.2968104054	23.6990479086
bin.6	6.72189139156	8.84504718162	3.40732086447	5.50181492857	5.63758713314	4.36168544141	7.79378224093	4.28875659558	7.3248172218	3.86821669731	4.06074597117	5.48549223036	3.66240110613
bin.12	2.57156694519	1.83292550572	3.00391713608	6.01070228394	5.33162062767	4.90063143598	4.7599284209	5.7498486294	7.313311491	5.77017645723	6.32228806351	4.81843991855	5.63273948049
bin.1	5.10259330355	6.23784406776	5.47537820321	13.0691503659	3.4026089466	5.25477423764	4.52094030511	3.22597639359	6.46316222062	4.56888122286	2.8165784549	6.30223229013	13.2194028898
bin.24	23.8041627539	20.6995232967	42.1757229485	41.8763248706	25.4887563221	25.4106570632	66.9086060366	32.8023689019	57.3079916471	25.9400732804	26.167279336	36.8894651704	52.1480793894
bin.26	5.95593588942	4.88744931856	5.18433488221	6.99230474015	7.51241045326	6.55494445354	6.50795861096	5.64510344607	9.78589608345	4.57242522516	7.46938278862	6.52400428268	7.77918035658
bin.mitochondria	45.6778122044	56.6352977845	42.6252500401	32.9880676017	43.2483623651	36.0826902355	55.4823204616	87.3974530108	38.9456852157	65.6258089353	34.4570300573	47.7565753754	41.2833785929
bin.39	4.23101787372	0.834028380609	1.24683461095	17.3911319667	1.32364967669	2.80488565975	3.71962968739	10.1701780235	4.12744366721	6.11452750672	10.0874325534	5.99308392545	10.1066513168
bin.chloroplast	86.2372533163	55.1259285018	77.6231192581	46.6641192471	76.603678626	58.6877574371	93.5953669507	91.8964633112	66.0071154114	104.272839942	54.3004603208	72.4018799037	65.4635957712
bin.23	0.125881280601	0.0087046861947	0.460593093302	19.3612588687	0.0960873810868	5.44561695093	0.0336989040951	23.292837798	2.62519914183	27.7801403675	9.92226513079	7.15557427842	0.645389142078
